2021-03-11 22:01:39.440 [main] INFO  Calculator - [SQUARE ROOT - RESULT] - 5.588380803059147
2021-03-11 22:01:39.441 [main] INFO  Calculator - [SQUARE ROOT] - -7.891
2021-03-11 22:01:39.441 [main] INFO  Calculator - [SQUARE ROOT - RESULT] - NaN
2021-03-11 22:01:39.442 [main] INFO  Calculator - [SQUARE ROOT] - 25.0
2021-03-11 22:01:39.443 [main] INFO  Calculator - [SQUARE ROOT - RESULT] - 5.0
2021-03-11 22:01:39.443 [main] INFO  Calculator - [SQUARE ROOT] - -300.0
2021-03-11 22:01:39.443 [main] INFO  Calculator - [SQUARE ROOT - RESULT] - NaN
2021-03-11 22:01:39.443 [main] INFO  Calculator - [SQUARE ROOT] - 1587.4333312
2021-03-11 22:01:39.443 [main] INFO  Calculator - [SQUARE ROOT - RESULT] - 39.84260698297741
2021-03-11 22:01:39.444 [main] INFO  Calculator - [SQUARE ROOT] - -1.578E-5
2021-03-11 22:01:39.444 [main] INFO  Calculator - [SQUARE ROOT - RESULT] - NaN
2021-03-11 22:21:29.556 [main] INFO  Calculator - [FACTORIAL] - 10
2021-03-11 22:21:29.559 [main] INFO  Calculator - [FACTORIAL - RESULT] - 3628800
2021-03-11 22:21:29.560 [main] INFO  Calculator - [FACTORIAL] - -200
2021-03-11 22:21:29.560 [main] INFO  Calculator - [FACTORIAL - RESULT] - -1
2021-03-11 22:21:37.799 [main] INFO  Calculator - [FACTORIAL] - 5
2021-03-11 22:21:37.805 [main] INFO  Calculator - [FACTORIAL - RESULT] - 120
2021-03-11 22:21:37.806 [main] INFO  Calculator - [FACTORIAL] - -11
2021-03-11 22:21:37.806 [main] INFO  Calculator - [FACTORIAL - RESULT] - -1
2021-03-11 22:21:50.705 [main] INFO  Calculator - [SQUARE ROOT] - 4.0
2021-03-11 22:21:50.708 [main] INFO  Calculator - [SQUARE ROOT - RESULT] - 2.0
2021-03-11 22:21:50.708 [main] INFO  Calculator - [SQUARE ROOT] - -2.0
2021-03-11 22:21:50.708 [main] INFO  Calculator - [SQUARE ROOT - RESULT] - NaN
2021-03-11 22:21:50.709 [main] INFO  Calculator - [SQUARE ROOT] - 31.23
2021-03-11 22:21:50.709 [main] INFO  Calculator - [SQUARE ROOT - RESULT] - 5.588380803059147
2021-03-11 22:21:50.710 [main] INFO  Calculator - [SQUARE ROOT] - -7.891
2021-03-11 22:21:50.710 [main] INFO  Calculator - [SQUARE ROOT - RESULT] - NaN
2021-03-11 22:21:50.712 [main] INFO  Calculator - [FACTORIAL] - 5
2021-03-11 22:21:50.712 [main] INFO  Calculator - [FACTORIAL - RESULT] - 120
2021-03-11 22:21:50.712 [main] INFO  Calculator - [FACTORIAL] - -11
2021-03-11 22:21:50.712 [main] INFO  Calculator - [FACTORIAL - RESULT] - -1
2021-03-11 22:21:50.713 [main] INFO  Calculator - [FACTORIAL] - 10
2021-03-11 22:21:50.713 [main] INFO  Calculator - [FACTORIAL - RESULT] - 3628800
2021-03-11 22:21:50.714 [main] INFO  Calculator - [FACTORIAL] - -200
2021-03-11 22:21:50.714 [main] INFO  Calculator - [FACTORIAL - RESULT] - -1
2021-03-11 22:21:50.714 [main] INFO  Calculator - [SQUARE ROOT] - 25.0
2021-03-11 22:21:50.715 [main] INFO  Calculator - [SQUARE ROOT - RESULT] - 5.0
2021-03-11 22:21:50.715 [main] INFO  Calculator - [SQUARE ROOT] - -300.0
2021-03-11 22:21:50.715 [main] INFO  Calculator - [SQUARE ROOT - RESULT] - NaN
2021-03-11 22:21:50.716 [main] INFO  Calculator - [SQUARE ROOT] - 1587.4333312
2021-03-11 22:21:50.716 [main] INFO  Calculator - [SQUARE ROOT - RESULT] - 39.84260698297741
2021-03-11 22:21:50.716 [main] INFO  Calculator - [SQUARE ROOT] - -1.578E-5
2021-03-11 22:21:50.716 [main] INFO  Calculator - [SQUARE ROOT - RESULT] - NaN
2021-03-11 22:33:24.392 [main] INFO  Calculator - [SQUARE ROOT] - 4.0
